name,id
Sylvester Stallone,1371
Sylvester Stallone,1374
John G. Avildsen,1375
John G. Avildsen,1885
John G. Avildsen,8856
John G. Avildsen,10495
Jeremiah S. Chechik,5825
Tibor Takács,6917
Tibor Takács,40729
Kurt Neumann,11815
David Cronenberg,9426
Chris Walas,10344
Tobe Hooper,30497
Tobe Hooper,16337
Jeff Burr,25018
Kim Henkel,16780
Peter Faiman,9671
John Cornell,9396
Martin Scorsese,11873
Joel Schumacher,8224
Mary Lambert,8913
Mary Lambert,10906
David Price,25748
James D.R. Hickox,25749
George Seaton,10671
Jack Smight,27932
Jerry Jameson,7227
Lewis Teague,33518
Michael Crichton,2362
Franklin J. Schaffner,871
Ted Post,1685
J. Lee Thompson,1705
J. Lee Thompson,1688
Don Taylor,1687
David Lowell Rich,29723
Irwin Allen,31638
Harold Ramis,9535
Roger Kumble,796
Katt Shea,7341
Lana Wachowski,603
Lilly Wachowski,603
Stephen Sommers,564
George Lucas,1893
Karl Freund,15849
Terence Fisher,18990
Leslie Goodwins,29242
Reginald Le Borg,29243
Christy Cabanne,31498
Harold Young,29239
Richard Donner,1924
Richard Lester,8536
Richard Lester,9531
Sidney J. Furie,11411
Tod Browning,138
Erle C. Kenton,30793
Erle C. Kenton,3103
James Whale,3035
Rowland V. Lee,3077
Erle C. Kenton,3074
Terence Fisher,3079
Robert Siodmak,32023
George Waggner,13666
Philippe Mora,29794
Jim Sharman,36685
Wes Craven,17918
Jay Roach,817
Kevin Lima,37135
Chris Buck,37135
Chris Weitz,2105
Paul Weitz,2105
Tim Hill,10208
Daniel Myrick,2667
Eduardo Sánchez,2667
Steve Miner,9825
Ivan Reitman,620
Ivan Reitman,2978
David Kellogg,332
François Truffaut,147
Gary Nelson,9710
Don Taylor,10766
Mike Hodges,10766
Graham Baker,10768
Jim Abrahams,813
David Zucker,813
Jerry Zucker,813
Ken Finkleman,2665
Amy Heckerling,11418
Harold Ramis,11153
Dennis Dugan,11077
Bob Clark,850
Mic Rodgers,10366
Roland Emmerich,9349
David Koepp,11601
Tom Holland,11797
Tommy Lee Wallace,18086
Jackie Chan,10975
Jackie Chan,10974
Eric Tsang,10974
Don Coscarelli,9638
Richard Franklin,10576
Anthony Perkins,12662
Yuen Woo-ping,11230
Robert Aldrich,1654
Guy Hamilton,658
Terence Young,657
Terence Young,646
Randal Kleiser,5689
Sergio Leone,391
Chris Columbus,772
Jamaa Fanaka,65448
Jamaa Fanaka,65452
Louis Morneau,10496
Sidney J. Furie,15247
Bruce Brown,29251
Paul Verhoeven,5548
Irvin Kershner,5549
John Glen,699
John Glen,709
Guy Hamilton,253
Terence Young,660
William Malone,11377
Brian Yuzna,18111
George A. Romero,16281
Michael Gornick,16288
Stuart Gordon,1694
Joe Dante,24831
John Ford,37853
Mervyn LeRoy,37853
Joshua Logan,37853
Ivan Reitman,14035
Ken Wiederhorn,40771
George Mendeluk,40772
Bob Logan,40773
Michael Haigney,10228
Kunihiko Yuyama,10228
Alan Parker,11663
Katt Shea,9264
Kurt Voss,18222
Michael Apted,36643
John Lasseter,863
Jack Nicholson,32669
Mike Mitchell,10402
Peter Bogdanovich,25188
Nathan H. Juran,15515
Rob Minkoff,10137
Steve Carr,10471
Bruce Timm,14919
Eric Radomski,14919
Emile Ardolino,2005
Penelope Spheeris,8872
Stephen Surjik,8873
Phillip Noyce,9869
Robert Rodriguez,9367
Paul Michael Glaser,16562
Wes Craven,4234
Barbet Schroeder,9605
Troy Duffy,8374
James Clavell,25934
