cast,revenue,movies,return
Adelle Lutz,316590991.0,2,8.639047615789472
Aden Young,18994653.0,1,0.0
Adetokumboh M'Cormack,714766572.0,1,4.204509247058824
Adewale Akinnuoye-Agbaje,1834602120.0,6,3.5648207966960115
Adhir Kalyan,290890373.0,2,4.94062108805668
Adi Hostiuc,0.0,1,0.0
Adi Shankar,0.0,1,0.0
Adil Abdelwahab,0.0,1,0.0
Adil Akram,414351546.0,1,5.115451185185186
Adil Besri,0.0,1,0.0
Adilah Barnes,352927224.0,1,7.202596408163266
Aditya Pancholi,0.0,1,0.0
Aditya Roy Kapoor,16000000.0,1,12.307692307692308
Adolf Hitler,0.0,1,0.0
Adolfo Celi,141195658.0,1,25.671937818181817
Adolfo Lastretti,1458000.0,1,0.680672268907563
Adolfo Quinones,0.0,2,0.0
Adom Osei,75700498.0,1,5.046699866666667
Adonis Simmons,415484914.0,1,3.4623742833333333
Adrian Annis,954305868.0,1,3.817223472
Adrian Black,251495.0,1,0.008383166666666667
Adrian Bouchet,171183863.0,1,2.445483757142857
Adrian Bowyer,0.0,1,0.0
Adrian Bustamante,0.0,1,0.0
Adrian Ciobanu,0.0,1,0.0
Adrian Ciscato,1020063384.0,1,12.7507923
Adrian Dearnell,43928932.0,1,2.091853904761905
Adrian Dunbar,71904.0,1,0.0287616
Adrian Edmondson,0.0,1,0.0
Adrian Escober,920100000.0,1,14.604761904761904
Adrian G. Griffiths,916997651.0,2,2.77144958505618
Adrian Gonzalez,1215439994.0,1,6.07719997
Adrian Holmes,0.0,2,0.0
Adrian Hough,41797066.0,1,1.04492665
Adrian Makala,0.0,1,0.0
Adrian Martinez,810400063.0,3,2.887550241428572
Adrian Ochoa,461983149.0,1,3.849859575
Adrian Paul,15843608.0,2,0.31687216
Adrian Pavlovschi,0.0,1,0.0
Adrian Quinton,414351546.0,1,5.115451185185186
Adrian Rawlins,6803712849.0,9,8.437357092387465
Adrian Rayment,738599701.0,1,4.923998006666666
Adrian Scarborough,74237563.0,1,1.3497738727272728
Adrian Schiller,0.0,1,0.0
Adrian Sparks,213086698.0,2,11.25868405
Adrian Wiltshire,159291809.0,1,5.309726966666667
Adrian Yvonne Black,0.0,1,0.0
Adrian Zmed,53607423.0,3,2.5184484696969696
Adriana Alveario,347451894.0,1,3.47451894
Adriana Barraza,449326618.0,1,2.995510786666667
Adriana Butoi,0.0,1,0.0
Adriana O'Neil,77527732.0,1,0.0
Adriana Paz,880674609.0,1,3.5945902408163266
Adriane Lenox,361366633.0,1,6.022777216666666
Adrianna Belan,0.0,1,0.0
Adrianna Miles,0.0,1,0.0
Adrianne Palicki,88779768.0,3,1.4813717944444447
Adrianne Sachs,53000000.0,1,4.076923076923077
Adrianne Walsh,52424533.0,1,1.4562370277777779
Adriano Garib,63027681.0,1,0.0
Adriano Giannini,362744280.0,1,3.2976752727272727
Adriano Stuart,0.0,1,0.0
Adriano Wajskol,29456000.0,1,7.364
Adrien Brody,126248813.0,1,3.156220325
Adrien Dorval,766759767.0,4,3.8079205145454544
Adrienne Bailon,44352417.0,3,0.5475607037037037
Adrienne Barbeau,143453034.0,4,3.7531719131944445
Adrienne Canterna,114194847.0,1,9.51623725
Adrienne Chan,86165646.0,1,1.9147921333333333
Adrienne D'Ambricourt,0.0,1,0.0
Adrienne Hampton,0.0,1,0.0
Adrienne King,81477377.0,2,63.01147494545455
Adrienne McQueen,167221571.0,1,23.888795857142856
Adrienne Posta,0.0,3,0.0
Adrienne Rey,0.0,1,0.0
Adrián Alonso Barona,142400065.0,1,1.8986675333333334
Adrián De Piero,8890685.0,1,0.0
Adryn White,463517383.0,1,7.357418777777778
Aedin Mincks,549368315.0,1,10.9873663
Aernout Van Lynden,91753202.0,1,2.29383005
Afemo Omilami,1288026989.0,2,4.680622701488834
Affif Ben Badra,344199131.0,2,1.7377987916666666
Affion Crockett,101769114.0,3,8.712681583333334
Afifi Alaouie,172008072.0,2,2.920397328030303
Afra Sophia Tully,103590271.0,1,20.7180542
Afram Bill Williams,368875760.0,1,8.38354
Afshan Azad,5064398839.0,5,6.103323750666666
Aftab Shivdasani,47000000.0,2,4.2727272727272725
Afton Smith,0.0,1,0.0
Agatha Hofmanová,81093313.0,1,2.3169518
Agathe Marit,40924982.0,1,1.605113444604775
Agathe Natanson,767820459.0,1,6.142563672
Agathe de La Boulaye,171183863.0,1,2.445483757142857
Agathe de La Fontaine,0.0,1,0.0
Agnes Anderson,0.0,2,0.0
Agnes Bruckner,0.0,2,0.0
Agnes Moorehead,0.0,2,0.0
Agnieshka Wnorowska,422610419.0,1,6.501698753846154
Agnieszka Musiala,0.0,1,0.0
Agniya Ditkovskite,34592118.0,1,1.330466076923077
Agustín Salvat,0.0,1,0.0
Agyness Deyn,232713139.0,1,1.861705112
Aharon Ipalé,851336793.0,4,2.4286481589795916
